Date,Description,Amount,Account
01-01-2026,salary credit,50000,HDFC
02-01-2026,swiggy order,-450,HDFC
04-01-2026,uber ride,-180,HDFC
05-01-2026,rent payment,-12000,HDFC
06-01-2026,zomato order,-380,HDFC
08-01-2026,netflix subscription,-199,HDFC
10-01-2026,amazon purchase,-2500,HDFC
12-01-2026,electricity bill,-1200,HDFC
14-01-2026,ola ride,-220,HDFC
16-01-2026,emi payment,-8000,HDFC
18-01-2026,swiggy order,-600,HDFC
20-01-2026,amazon purchase,-1800,HDFC
22-01-2026,uber ride,-150,HDFC
25-01-2026,electricity bill,-350,HDFC
28-01-2026,zomato order,-420,HDFC
01-02-2026,salary credit,50000,HDFC
03-02-2026,swiggy order,-500,HDFC
05-02-2026,rent payment,-12000,HDFC
06-02-2026,uber ride,-200,HDFC
08-02-2026,netflix subscription,-199,HDFC
10-02-2026,emi payment,-8000,HDFC
12-02-2026,amazon purchase,-3200,HDFC
15-02-2026,zomato order,-350,HDFC
17-02-2026,electricity bill,-1400,HDFC
19-02-2026,ola ride,-190,HDFC
22-02-2026,swiggy order,-480,HDFC
24-02-2026,amazon purchase,-900,HDFC
27-02-2026,uber ride,-160,HDFC
01-03-2026,salary credit,52000,HDFC
03-03-2026,rent payment,-12000,HDFC
04-03-2026,swiggy order,-550,HDFC
06-03-2026,emi payment,-8000,HDFC
08-03-2026,netflix subscription,-199,HDFC
10-03-2026,uber ride,-210,HDFC
13-03-2026,amazon purchase,-4500,HDFC
15-03-2026,electricity bill,-1250,HDFC
18-03-2026,zomato order,-400,HDFC
20-03-2026,ola ride,-230,HDFC
23-03-2026,swiggy order,-520,HDFC
26-03-2026,amazon purchase,-1600,HDFC
29-03-2026,uber ride,-175,HDFC
